age,race,education,wage,Zip,1bed1bath,2bed1bath,mthly_income,res_hp_per_sqft,res_rent_per_sqft
43,3. Asian,4. Master's Deg,152.838801,94037,2000,3850,18340.65612,363.6363636,5
54,1. White,3. College Grad,117.1468169,95008,2200,3700,14057.61803,400,5.5
69,3. Asian,2. Some College,77.7376033,94602,2600,3700,9328.512396,472.7272727,6.5
41,1. White,3. College Grad,87.98103279,94941,2900,3500,10557.72393,527.2727273,7.25
48,3. Asian,5. Advanced Degree,125.5254984,94037,2000,3850,15063.05981,363.6363636,5
49,1. White,3. College Grad,123.336104,95008,2200,3700,14800.33248,400,5.5
42,3. Asian,2. Some College,158.2946214,94105,3500,5000,18995.35457,636.3636364,8.75
37,1. White,4. Master's Deg,200.5432623,94022,3100,4300,24065.19148,563.6363636,7.75
55,3. Asian,2. Some College,99.6894637,94105,3500,5000,11962.73564,636.3636364,8.75
21,2. Black,2. Some College,70.47601965,94602,2600,3700,8457.122358,472.7272727,6.5
58,3. Asian,2. Some College,94.07271475,94089,2800,3400,11288.72577,509.0909091,7
31,3. Asian,2. Some College,81.28325328,94089,2800,3400,9753.990394,509.0909091,7
25,3. Asian,2. Some College,81.28325328,94602,2600,3700,9753.990394,472.7272727,6.5
32,1. White,3. College Grad,100.7642728,94037,2000,3850,12091.71274,363.6363636,5
40,2. Black,2. Some College,94.07271475,94105,3500,5000,11288.72577,636.3636364,8.75
44,3. Asian,5. Advanced Degree,99.6894637,94602,2600,3700,11962.73564,472.7272727,6.5
60,1. White,4. Master's Deg,268.266292,94022,3100,4300,32191.95504,563.6363636,7.75
23,3. Asian,2. Some College,81.28325328,94941,2900,3500,9753.990394,527.2727273,7.25
63,3. Asian,2. Some College,113.5670896,94105,3500,5000,13628.05075,636.3636364,8.75
44,1. White,2. Some College,87.98103279,94941,2900,3500,10557.72393,527.2727273,7.25
47,3. Asian,5. Advanced Degree,128.6804882,94105,3500,5000,15441.65858,636.3636364,8.75
61,1. White,3. College Grad,106.7239776,94105,3500,5000,12806.87731,636.3636364,8.75
55,1. White,5. Advanced Degree,66.04469423,94037,2000,3850,7925.363308,363.6363636,5
24,1. White,2. Some College,51.52195631,94089,2800,3400,6182.634757,509.0909091,7
42,3. Asian,2. Some College,85.38394038,94602,2600,3700,10246.07285,472.7272727,6.5
25,1. White,2. Some College,76.89360252,94105,3500,5000,9227.232302,636.3636364,8.75
34,3. Asian,2. Some College,90.48191336,95008,2200,3700,10857.8296,400,5.5
53,1. White,2. Some College,68.07642829,94941,2900,3500,8169.171395,527.2727273,7.25
53,1. White,4. Master's Deg,130.9821774,94941,2900,3500,15717.86129,527.2727273,7.25
70,3. Asian,5. Advanced Degree,127.901233,94105,3500,5000,15348.14796,636.3636364,8.75
47,1. White,4. Master's Deg,131.2245938,94022,3100,4300,15746.95126,563.6363636,7.75
46,1. White,2. Some College,99.6894637,94037,2000,3850,11962.73564,363.6363636,5
33,1. White,2. Some College,76.89360252,94941,2900,3500,9227.232302,527.2727273,7.25
34,3. Asian,5. Advanced Degree,107.9039239,94941,2900,3500,12948.47087,527.2727273,7.25
22,1. White,2. Some College,81.28325328,94022,3100,4300,9753.990394,563.6363636,7.75
74,3. Asian,2. Some College,99.6894637,94022,3100,4300,11962.73564,563.6363636,7.75
40,2. Black,3. College Grad,98.59934386,94037,2000,3850,11831.92126,363.6363636,5
45,1. White,4. Master's Deg,200.5432623,94602,2600,3700,24065.19148,472.7272727,6.5
43,3. Asian,4. Master's Deg,156.5035109,94089,2800,3400,18780.42131,509.0909091,7
33,3. Asian,4. Master's Deg,144.944365,94037,2000,3850,17393.3238,363.6363636,5
62,2. Black,4. Master's Deg,118.8843593,94037,2000,3850,14266.12312,363.6363636,5
37,1. White,4. Master's Deg,121.4303138,95008,2200,3700,14571.63766,400,5.5
54,3. Asian,2. Some College,111.7208494,94022,3100,4300,13406.50193,563.6363636,7.75
34,1. White,3. College Grad,68.74808773,94037,2000,3850,8249.770528,363.6363636,5
50,1. White,4. Master's Deg,114.4757133,94089,2800,3400,13737.0856,509.0909091,7
46,3. Asian,3. College Grad,95.23071257,94105,3500,5000,11427.68551,636.3636364,8.75
41,3. Asian,2. Some College,87.98103279,95008,2200,3700,10557.72393,400,5.5
63,2. Black,3. College Grad,64.27439722,95008,2200,3700,7712.927666,400,5.5
38,1. White,3. College Grad,128.6804882,94089,2800,3400,15441.65858,509.0909091,7
35,3. Asian,3. College Grad,114.4757133,94037,2000,3850,13737.0856,363.6363636,5
29,1. White,4. Master's Deg,112.6488963,94037,2000,3850,13517.86756,363.6363636,5
66,3. Asian,2. Some College,81.28325328,94037,2000,3850,9753.990394,363.6363636,5
37,1. White,2. Some College,75.89548482,94022,3100,4300,9107.458178,563.6363636,7.75
39,2. Black,2. Some College,112.136923,94089,2800,3400,13456.43076,509.0909091,7
42,1. White,2. Some College,85.38394038,94022,3100,4300,10246.07285,563.6363636,7.75
51,3. Asian,2. Some College,94.07271475,94105,3500,5000,11288.72577,636.3636364,8.75
55,3. Asian,5. Advanced Degree,114.4757133,94022,3100,4300,13737.0856,563.6363636,7.75
51,3. Asian,5. Advanced Degree,176.9896505,94941,2900,3500,21238.75806,527.2727273,7.25
38,1. White,1. PhD,276.7784133,94602,2600,3700,33213.4096,472.7272727,6.5
49,1. White,2. Some College,101.8243521,94022,3100,4300,12218.92225,563.6363636,7.75
42,3. Asian,2. Some College,91.69922611,94602,2600,3700,11003.90713,472.7272727,6.5
43,1. White,2. Some College,86.69515483,94022,3100,4300,10403.41858,563.6363636,7.75
38,1. White,4. Master's Deg,162.9464607,94089,2800,3400,19553.57528,509.0909091,7
59,3. Asian,2. Some College,139.2137881,94941,2900,3500,16705.65457,527.2727273,7.25
57,1. White,3. College Grad,95.23071257,94941,2900,3500,11427.68551,527.2727273,7.25
25,3. Asian,2. Some College,66.96164432,94941,2900,3500,8035.397318,527.2727273,7.25
49,1. White,4. Master's Deg,131.1943236,94941,2900,3500,15743.31883,527.2727273,7.25
41,3. Asian,2. Some College,90.48191336,94105,3500,5000,10857.8296,636.3636364,8.75
38,1. White,2. Some College,114.4757133,94941,2900,3500,13737.0856,527.2727273,7.25
61,3. Asian,5. Advanced Degree,79.1280845,94602,2600,3700,9495.37014,472.7272727,6.5
49,3. Asian,2. Some College,104.5917379,95008,2200,3700,12551.00855,400,5.5
52,1. White,5. Advanced Degree,132.4878211,94089,2800,3400,15898.53853,509.0909091,7
43,1. White,5. Advanced Degree,141.7751723,94022,3100,4300,17013.02068,563.6363636,7.75
60,1. White,4. Master's Deg,123.0896998,95008,2200,3700,14770.76398,400,5.5
46,3. Asian,5. Advanced Degree,134.7053751,94602,2600,3700,16164.64501,472.7272727,6.5
21,1. White,2. Some College,55.76739051,94602,2600,3700,6692.086861,472.7272727,6.5
61,1. White,4. Master's Deg,106.9218141,94089,2800,3400,12830.61769,509.0909091,7
32,2. Black,5. Advanced Degree,118.8843593,94105,3500,5000,14266.12312,636.3636364,8.75
58,1. White,2. Some College,87.98103279,94105,3500,5000,10557.72393,636.3636364,8.75
35,1. White,2. Some College,88.92960664,94089,2800,3400,10671.5528,509.0909091,7
26,2. Black,2. Some College,81.28325328,95008,2200,3700,9753.990394,400,5.5
32,2. Black,2. Some College,94.07271475,94602,2600,3700,11288.72577,472.7272727,6.5
37,1. White,2. Some College,106.9218141,94022,3100,4300,12830.61769,563.6363636,7.75
22,3. Asian,2. Some College,59.09706408,94602,2600,3700,7091.64769,472.7272727,6.5
51,1. White,2. Some College,65.11085372,94105,3500,5000,7813.302446,636.3636364,8.75
44,1. White,5. Advanced Degree,120.5894365,94602,2600,3700,14470.73238,472.7272727,6.5
35,3. Asian,5. Advanced Degree,157.7005277,94941,2900,3500,18924.06332,527.2727273,7.25
60,3. Asian,2. Some College,129.4536446,95008,2200,3700,15534.43735,400,5.5
40,1. White,4. Master's Deg,176.9896505,95008,2200,3700,21238.75806,400,5.5
35,3. Asian,2. Some College,59.09706408,95008,2200,3700,7091.64769,400,5.5
35,1. White,1. PhD,94.07271475,94941,2900,3500,11288.72577,527.2727273,7.25
47,1. White,2. Some College,134.7053751,95008,2200,3700,16164.64501,400,5.5
43,3. Asian,4. Master's Deg,81.28325328,94037,2000,3850,9753.990394,363.6363636,5
33,3. Asian,2. Some College,81.28325328,94602,2600,3700,9753.990394,472.7272727,6.5
60,1. White,1. PhD,153.4575153,94089,2800,3400,18414.90184,509.0909091,7
38,3. Asian,5. Advanced Degree,136.8763676,94089,2800,3400,16425.16411,509.0909091,7
53,3. Asian,2. Some College,75.04315402,94022,3100,4300,9005.178482,563.6363636,7.75
55,1. White,3. College Grad,130.2208324,94037,2000,3850,15626.49989,363.6363636,5
57,2. Black,2. Some College,104.9215065,94022,3100,4300,12590.58078,563.6363636,7.75
64,3. Asian,4. Master's Deg,49.55533812,95008,2200,3700,5946.640574,400,5.5
43,1. White,2. Some College,123.9085676,94089,2800,3400,14869.02811,509.0909091,7
35,2. Black,3. College Grad,123.0896998,94602,2600,3700,14770.76398,472.7272727,6.5
54,1. White,2. Some College,78.15516141,94602,2600,3700,9378.619369,472.7272727,6.5
45,3. Asian,2. Some College,73.77574327,94941,2900,3500,8853.089192,527.2727273,7.25
58,3. Asian,4. Master's Deg,138.2991269,94089,2800,3400,16595.89523,509.0909091,7
48,3. Asian,4. Master's Deg,127.1157438,94105,3500,5000,15253.88926,636.3636364,8.75
46,3. Asian,2. Some College,68.74808773,95008,2200,3700,8249.770528,400,5.5
46,3. Asian,2. Some College,84.39111475,94022,3100,4300,10126.93377,563.6363636,7.75
55,1. White,2. Some College,85.38394038,95008,2200,3700,10246.07285,400,5.5
51,1. White,3. College Grad,128.6804882,94941,2900,3500,15441.65858,527.2727273,7.25
49,3. Asian,3. College Grad,70.47601965,94602,2600,3700,8457.122358,472.7272727,6.5
34,3. Asian,3. College Grad,76.89360252,94941,2900,3500,9227.232302,527.2727273,7.25
53,1. White,3. College Grad,148.4131591,94089,2800,3400,17809.57909,509.0909091,7
40,3. Asian,3. College Grad,148.4131591,94105,3500,5000,17809.57909,636.3636364,8.75
50,1. White,3. College Grad,175.9608831,94105,3500,5000,21115.30597,636.3636364,8.75
37,3. Asian,2. Some College,98.59934386,95008,2200,3700,11831.92126,400,5.5
39,1. White,3. College Grad,145.1436012,94941,2900,3500,17417.23214,527.2727273,7.25
52,1. White,4. Master's Deg,99.6894637,94105,3500,5000,11962.73564,636.3636364,8.75
50,3. Asian,2. Some College,141.0888744,94602,2600,3700,16930.66493,472.7272727,6.5
48,1. White,4. Master's Deg,123.0896998,94037,2000,3850,14770.76398,363.6363636,5
47,1. White,2. Some College,129.4536446,94089,2800,3400,15534.43735,509.0909091,7
27,3. Asian,4. Master's Deg,111.7208494,94602,2600,3700,13406.50193,472.7272727,6.5
39,1. White,2. Some College,103.9024706,94602,2600,3700,12468.29647,472.7272727,6.5
44,2. Black,2. Some College,118.8843593,94022,3100,4300,14266.12312,563.6363636,7.75
37,2. Black,3. College Grad,151.5914842,94105,3500,5000,18190.9781,636.3636364,8.75
52,3. Asian,2. Some College,101.8243521,94037,2000,3850,12218.92225,363.6363636,5
26,3. Asian,3. College Grad,99.6894637,94037,2000,3850,11962.73564,363.6363636,5
39,3. Asian,5. Advanced Degree,99.6894637,94022,3100,4300,11962.73564,563.6363636,7.75
25,2. Black,2. Some College,99.6894637,94037,2000,3850,11962.73564,363.6363636,5
31,3. Asian,4. Master's Deg,94.07271475,94022,3100,4300,11288.72577,563.6363636,7.75
58,1. White,3. College Grad,152.2168068,94089,2800,3400,18266.01682,509.0909091,7
30,3. Asian,4. Master's Deg,104.9215065,95008,2200,3700,12590.58078,400,5.5
27,3. Asian,2. Some College,65.11085372,94037,2000,3850,7813.302446,363.6363636,5
40,1. White,2. Some College,95.23071257,95008,2200,3700,11427.68551,400,5.5
55,3. Asian,1. PhD,173.8794933,94105,3500,5000,20865.5392,636.3636364,8.75
35,3. Asian,1. PhD,193.4110705,95008,2200,3700,23209.32846,400,5.5
48,3. Asian,2. Some College,114.4757133,94105,3500,5000,13737.0856,636.3636364,8.75
29,3. Asian,4. Master's Deg,160.6424754,94022,3100,4300,19277.09705,563.6363636,7.75
25,3. Asian,3. College Grad,89.49247952,94037,2000,3850,10739.09754,363.6363636,5
40,1. White,3. College Grad,120.5894365,94022,3100,4300,14470.73238,563.6363636,7.75
27,3. Asian,2. Some College,73.77574327,94105,3500,5000,8853.089192,636.3636364,8.75
44,1. White,2. Some College,127.1157438,94105,3500,5000,15253.88926,636.3636364,8.75
49,1. White,3. College Grad,118.8843593,94941,2900,3500,14266.12312,527.2727273,7.25
22,3. Asian,3. College Grad,34.60741773,94602,2600,3700,4152.890128,472.7272727,6.5
45,1. White,3. College Grad,114.4757133,94941,2900,3500,13737.0856,527.2727273,7.25
33,3. Asian,3. College Grad,85.38394038,94022,3100,4300,10246.07285,563.6363636,7.75
63,2. Black,1. PhD,318.3424301,94105,3500,5000,38201.09161,636.3636364,8.75
49,2. Black,4. Master's Deg,141.7751723,94941,2900,3500,17013.02068,527.2727273,7.25
39,1. White,5. Advanced Degree,130.9821774,94089,2800,3400,15717.86129,509.0909091,7
25,4. Other,2. Some College,73.77574327,94022,3100,4300,8853.089192,563.6363636,7.75
29,3. Asian,5. Advanced Degree,130.9821774,94941,2900,3500,15717.86129,527.2727273,7.25
37,1. White,2. Some College,75.04315402,94022,3100,4300,9005.178482,563.6363636,7.75
35,1. White,5. Advanced Degree,154.9902603,94037,2000,3850,18598.83124,363.6363636,5
46,3. Asian,2. Some College,104.9215065,94602,2600,3700,12590.58078,472.7272727,6.5
58,1. White,4. Master's Deg,73.11830692,94022,3100,4300,8774.19683,563.6363636,7.75
39,1. White,5. Advanced Degree,123.0896998,94022,3100,4300,14770.76398,563.6363636,7.75
41,1. White,4. Master's Deg,157.7005277,94089,2800,3400,18924.06332,509.0909091,7
29,2. Black,4. Master's Deg,81.28325328,95008,2200,3700,9753.990394,400,5.5
37,3. Asian,4. Master's Deg,107.2560621,94105,3500,5000,12870.72745,636.3636364,8.75
62,1. White,2. Some College,78.98167452,94037,2000,3850,9477.800942,363.6363636,5
27,3. Asian,2. Some College,73.77574327,94602,2600,3700,8853.089192,472.7272727,6.5
37,3. Asian,2. Some College,94.07271475,95008,2200,3700,11288.72577,400,5.5
56,3. Asian,4. Master's Deg,99.6894637,94941,2900,3500,11962.73564,527.2727273,7.25
36,1. White,3. College Grad,176.9896505,94941,2900,3500,21238.75806,527.2727273,7.25
23,4. Other,2. Some College,73.77574327,95008,2200,3700,8853.089192,400,5.5
46,3. Asian,3. College Grad,99.6894637,94941,2900,3500,11962.73564,527.2727273,7.25
26,1. White,3. College Grad,94.07271475,94602,2600,3700,11288.72577,472.7272727,6.5
43,3. Asian,2. Some College,95.23071257,94602,2600,3700,11427.68551,472.7272727,6.5
36,1. White,2. Some College,127.1157438,94037,2000,3850,15253.88926,363.6363636,5
54,3. Asian,3. College Grad,99.6894637,94022,3100,4300,11962.73564,563.6363636,7.75
62,3. Asian,2. Some College,95.68881191,94602,2600,3700,11482.65743,472.7272727,6.5
40,1. White,2. Some College,109.8339856,94941,2900,3500,13180.07827,527.2727273,7.25
53,3. Asian,3. College Grad,118.8843593,94602,2600,3700,14266.12312,472.7272727,6.5
48,1. White,1. PhD,176.9896505,94602,2600,3700,21238.75806,472.7272727,6.5
23,3. Asian,4. Master's Deg,61.18752643,94941,2900,3500,7342.503172,527.2727273,7.25
34,3. Asian,2. Some College,81.28325328,94602,2600,3700,9753.990394,472.7272727,6.5
43,1. White,4. Master's Deg,256.4006496,94941,2900,3500,30768.07795,527.2727273,7.25
55,3. Asian,2. Some College,81.28325328,94022,3100,4300,9753.990394,563.6363636,7.75
59,3. Asian,2. Some College,81.28325328,94941,2900,3500,9753.990394,527.2727273,7.25
60,1. White,2. Some College,55.76739051,94602,2600,3700,6692.086861,472.7272727,6.5
49,1. White,2. Some College,75.35567932,95008,2200,3700,9042.681518,400,5.5
45,3. Asian,3. College Grad,130.9821774,94037,2000,3850,15717.86129,363.6363636,5
31,3. Asian,2. Some College,43.73511168,94022,3100,4300,5248.213402,563.6363636,7.75
34,1. White,4. Master's Deg,114.4757133,95008,2200,3700,13737.0856,400,5.5
26,1. White,5. Advanced Degree,114.4757133,94941,2900,3500,13737.0856,527.2727273,7.25
22,1. White,2. Some College,81.28325328,94022,3100,4300,9753.990394,563.6363636,7.75
40,3. Asian,2. Some College,68.5721657,94105,3500,5000,8228.659884,636.3636364,8.75
41,3. Asian,3. College Grad,109.8339856,94089,2800,3400,13180.07827,509.0909091,7
36,2. Black,3. College Grad,97.49329405,94089,2800,3400,11699.19529,509.0909091,7
38,1. White,2. Some College,62.39835472,95008,2200,3700,7487.802566,400,5.5
48,1. White,2. Some College,97.49329405,94089,2800,3400,11699.19529,509.0909091,7
47,1. White,3. College Grad,134.7053751,94037,2000,3850,16164.64501,363.6363636,5
47,3. Asian,2. Some College,61.18752643,95008,2200,3700,7342.503172,400,5.5
35,3. Asian,4. Master's Deg,118.8843593,94089,2800,3400,14266.12312,509.0909091,7
49,3. Asian,2. Some College,65.11085372,94941,2900,3500,7813.302446,527.2727273,7.25
40,1. White,3. College Grad,109.8339856,94089,2800,3400,13180.07827,509.0909091,7
32,3. Asian,4. Master's Deg,104.9215065,94022,3100,4300,12590.58078,563.6363636,7.75
57,1. White,4. Master's Deg,73.77574327,94602,2600,3700,8853.089192,472.7272727,6.5
56,1. White,4. Master's Deg,141.7751723,94037,2000,3850,17013.02068,363.6363636,5
73,1. White,2. Some College,90.48191336,94105,3500,5000,10857.8296,636.3636364,8.75
29,3. Asian,2. Some College,73.77574327,95008,2200,3700,8853.089192,400,5.5
49,3. Asian,5. Advanced Degree,134.7053751,94037,2000,3850,16164.64501,363.6363636,5
30,3. Asian,2. Some College,109.8339856,94022,3100,4300,13180.07827,563.6363636,7.75
29,3. Asian,2. Some College,91.69922611,94089,2800,3400,11003.90713,509.0909091,7
36,1. White,3. College Grad,95.23071257,94037,2000,3850,11427.68551,363.6363636,5
39,1. White,5. Advanced Degree,156.5035109,94037,2000,3850,18780.42131,363.6363636,5
48,3. Asian,4. Master's Deg,104.9215065,94602,2600,3700,12590.58078,472.7272727,6.5
45,2. Black,4. Master's Deg,99.6894637,95008,2200,3700,11962.73564,400,5.5
50,1. White,4. Master's Deg,54.59815003,94022,3100,4300,6551.778004,563.6363636,7.75
42,3. Asian,4. Master's Deg,32.36641317,94105,3500,5000,3883.96958,636.3636364,8.75
58,1. White,3. College Grad,118.8843593,94941,2900,3500,14266.12312,527.2727273,7.25
48,3. Asian,2. Some College,109.8339856,94602,2600,3700,13180.07827,472.7272727,6.5
48,3. Asian,4. Master's Deg,109.8339856,94089,2800,3400,13180.07827,509.0909091,7
45,3. Asian,3. College Grad,118.8843593,94105,3500,5000,14266.12312,636.3636364,8.75
41,3. Asian,3. College Grad,110.7826503,94037,2000,3850,13293.91804,363.6363636,5
27,3. Asian,2. Some College,93.55726735,94105,3500,5000,11226.87208,636.3636364,8.75
44,3. Asian,2. Some College,109.8339856,94602,2600,3700,13180.07827,472.7272727,6.5
32,3. Asian,4. Master's Deg,118.8843593,94022,3100,4300,14266.12312,563.6363636,7.75
46,3. Asian,2. Some College,118.8843593,94602,2600,3700,14266.12312,472.7272727,6.5
52,2. Black,2. Some College,52.15617117,94037,2000,3850,6258.74054,363.6363636,5
22,3. Asian,3. College Grad,43.73511168,94941,2900,3500,5248.213402,527.2727273,7.25
53,3. Asian,2. Some College,117.1468169,94037,2000,3850,14057.61803,363.6363636,5
34,3. Asian,5. Advanced Degree,118.8843593,95008,2200,3700,14266.12312,400,5.5
38,3. Asian,2. Some College,148.4131591,94022,3100,4300,17809.57909,563.6363636,7.75
42,3. Asian,2. Some College,101.8243521,94105,3500,5000,12218.92225,636.3636364,8.75
25,2. Black,3. College Grad,94.07271475,94105,3500,5000,11288.72577,636.3636364,8.75
29,1. White,3. College Grad,86.69515483,95008,2200,3700,10403.41858,400,5.5
28,1. White,5. Advanced Degree,141.7751723,94941,2900,3500,17013.02068,527.2727273,7.25
46,1. White,4. Master's Deg,66.96164432,94089,2800,3400,8035.397318,509.0909091,7
55,2. Black,5. Advanced Degree,118.8843593,94022,3100,4300,14266.12312,563.6363636,7.75
56,1. White,2. Some College,105.7676396,94941,2900,3500,12692.11675,527.2727273,7.25
41,2. Black,2. Some College,118.8843593,94089,2800,3400,14266.12312,509.0909091,7
61,1. White,5. Advanced Degree,176.9896505,94105,3500,5000,21238.75806,636.3636364,8.75
47,1. White,2. Some College,65.11085372,94105,3500,5000,7813.302446,636.3636364,8.75
52,1. White,3. College Grad,85.38394038,94105,3500,5000,10246.07285,636.3636364,8.75
27,1. White,2. Some College,72.15045568,95008,2200,3700,8658.054682,400,5.5
33,2. Black,3. College Grad,89.24288466,94941,2900,3500,10709.14616,527.2727273,7.25
58,1. White,2. Some College,65.11085372,94602,2600,3700,7813.302446,472.7272727,6.5
27,1. White,4. Master's Deg,145.8051634,95008,2200,3700,17496.61961,400,5.5
52,2. Black,2. Some College,87.98103279,94602,2600,3700,10557.72393,472.7272727,6.5
45,1. White,5. Advanced Degree,41.09980363,94037,2000,3850,4931.976436,363.6363636,5
22,1. White,2. Some College,68.3956538,95008,2200,3700,8207.478456,400,5.5
25,1. White,3. College Grad,81.28325328,94105,3500,5000,9753.990394,636.3636364,8.75
25,1. White,2. Some College,73.77574327,94022,3100,4300,8853.089192,563.6363636,7.75
41,2. Black,2. Some College,130.9821774,94941,2900,3500,15717.86129,527.2727273,7.25
54,3. Asian,4. Master's Deg,148.4131591,94089,2800,3400,17809.57909,509.0909091,7
23,3. Asian,2. Some College,81.22674631,95008,2200,3700,9747.209557,400,5.5
36,3. Asian,5. Advanced Degree,63.188861,94022,3100,4300,7582.66332,563.6363636,7.75
31,3. Asian,3. College Grad,94.07271475,94037,2000,3850,11288.72577,363.6363636,5
52,3. Asian,2. Some College,92.65813017,94037,2000,3850,11118.97562,363.6363636,5
46,2. Black,2. Some College,76.89360252,94089,2800,3400,9227.232302,509.0909091,7
45,1. White,2. Some College,118.8843593,94022,3100,4300,14266.12312,563.6363636,7.75
40,1. White,2. Some College,79.85490031,94602,2600,3700,9582.588037,472.7272727,6.5
33,3. Asian,4. Master's Deg,86.69515483,94089,2800,3400,10403.41858,509.0909091,7
